Date,Close/Last,Volume,Open,High,Low
11/28/2025,$107.58,15021610,$106.435,$107.94,$106.24
11/26/2025,$106.14,27951010,$105.74,$106.95,$105.22
11/25/2025,$104.40,35122560,$106.12,$106.30,$103.82
11/24/2025,$106.97,62918290,$104.25,$108.04,$103.32
11/21/2025,$104.31,41232690,$105.13,$106.53,$103.81
11/20/2025,$105.67,36918550,$111.00,$111.10,$105.39
11/19/2025,$110.00,31868090,$113.00,$113.34,$108.61
11/18/2025,$114.09,43440570,$110.29,$115.25,$109.20
11/17/2025,$110.29,26082730,$110.75,$111.85,$109.55
11/14/2025,$111.217,47607130,$114.273,$114.273,$110.721
11/13/2025,$115.423,40143590,$115.85,$116.733,$114.569
11/12/2025,$115.75,39220570,$113.817,$116.434,$112.826
11/11/2025,$113.644,27965940,$111.76,$113.922,$111.28
11/10/2025,$112.007,36929000,$110.6715,$112.82,$110.405
11/07/2025,$110.366,44125340,$109.4175,$110.822,$108.75
11/06/2025,$109.702,36531700,$109.458,$110.37,$108.513
11/05/2025,$109.846,35539170,$108.50,$110.085,$107.337
11/04/2025,$109.296,38717800,$109.999,$110.46,$108.668
11/03/2025,$110.009,58634390,$113.324,$113.35,$107.515
10/31/2025,$111.886,68665000,$110.539,$113.488,$110.198
10/30/2025,$108.90,41580990,$109.44,$110.616,$108.811
10/29/2025,$110.041,33994870,$109.984,$110.855,$109.60
10/28/2025,$110.25,40209010,$109.40,$111.698,$109.3008
10/27/2025,$109.456,46911140,$110.067,$110.228,$108.73
10/24/2025,$109.469,60280250,$111.10,$111.451,$109.441
10/23/2025,$111.359,68497220,$112.69,$112.7829,$109.973
10/22/2025,$111.637,147890300,$114.29,$115.76,$111.251
10/21/2025,$124.135,65082340,$124.283,$124.86,$123.176
10/20/2025,$123.856,39862350,$120.7875,$124.776,$120.69
10/17/2025,$119.936,29571010,$118.36,$120.312,$117.895
10/16/2025,$118.359,28326190,$121.215,$121.671,$117.60
10/15/2025,$120.329,20251940,$121.301,$121.962,$120.161
10/14/2025,$121.535,23624460,$121.475,$122.429,$120.31
10/13/2025,$121.903,24607830,$122.135,$123.112,$120.681
10/10/2025,$122.008,42797760,$122.90,$124.70,$121.91
10/09/2025,$123.107,28240770,$121.425,$123.75,$121.182
10/08/2025,$121.425,28513530,$119.711,$121.739,$119.20
10/07/2025,$119.106,33090940,$117.779,$120.1365,$117.746
10/06/2025,$116.331,29685960,$116.037,$116.358,$114.545
10/03/2025,$115.332,31373650,$116.50,$116.80,$114.322
10/02/2025,$116.253,46854670,$116.15,$116.333,$113.40
10/01/2025,$117.09,41102210,$117.549,$117.914,$116.321
09/30/2025,$119.892,38303040,$120.641,$120.85,$117.80
09/29/2025,$120.641,30331740,$120.50,$122.449,$118.754
09/26/2025,$121.061,19449570,$120.542,$121.40,$120.00
09/25/2025,$120.824,19977830,$120.309,$121.684,$119.151
09/24/2025,$120.395,27731270,$121.861,$122.15,$119.42
09/23/2025,$121.847,24991460,$122.733,$122.779,$120.847
09/22/2025,$122.737,25468140,$122.19,$122.976,$121.4243
09/19/2025,$122.697,49475900,$121.862,$122.995,$120.81
09/18/2025,$120.778,31691050,$122.082,$123.30,$120.55
09/17/2025,$122.85,34597960,$122.102,$123.393,$120.6605
09/16/2025,$120.051,24046860,$120.564,$120.90,$119.728
09/15/2025,$120.226,29092770,$118.84,$120.724,$117.3208
09/12/2025,$118.844,37849440,$120.3055,$121.178,$118.24
09/11/2025,$120.35,56822860,$125.10,$125.3445,$119.20
09/10/2025,$124.771,27010150,$126.3975,$126.70,$124.6355
09/09/2025,$126.325,22196550,$124.667,$126.5721,$124.667
09/08/2025,$124.476,19150530,$124.854,$125.2041,$123.20
09/05/2025,$124.382,23796730,$126.00,$126.71,$123.902
09/04/2025,$125.748,30235060,$122.32,$125.748,$122.309
09/03/2025,$122.618,24714950,$120.514,$122.70,$120.338
09/02/2025,$121.411,23032690,$119.70,$121.54,$118.28
08/29/2025,$120.825,32098170,$122.797,$122.879,$120.115
08/28/2025,$123.145,19503360,$122.279,$123.7891,$121.4268
08/27/2025,$122.35,16645260,$122.361,$122.921,$121.30
08/26/2025,$122.609,19857140,$122.021,$123.15,$121.22
08/25/2025,$121.807,28120360,$120.165,$123.38,$119.90
08/22/2025,$120.465,31281330,$120.888,$121.362,$119.823
08/21/2025,$120.621,20471780,$121.143,$122.14,$119.7635
08/20/2025,$121.386,24343980,$121.80,$122.30,$119.331
08/19/2025,$121.415,37077310,$124.02,$124.10,$119.279
08/18/2025,$124.509,21110870,$123.563,$125.116,$123.545
08/15/2025,$123.895,27678040,$123.404,$124.6941,$122.788
08/14/2025,$123.056,39046680,$120.989,$124.409,$120.703
08/13/2025,$120.444,27623550,$123.40,$123.712,$120.30
08/12/2025,$122.528,22826270,$122.50,$123.199,$120.6505
08/11/2025,$121.831,24556480,$121.401,$122.307,$120.193
08/08/2025,$121.164,38166890,$118.319,$121.411,$118.037
08/07/2025,$118.037,26283210,$118.176,$119.122,$116.82
08/06/2025,$117.848,33621610,$115.352,$118.1375,$115.187
08/05/2025,$114.787,26607350,$117.10,$117.171,$114.471
08/04/2025,$117.099,22447020,$116.765,$117.70,$116.2615
08/01/2025,$115.86,38909500,$116.301,$117.8505,$115.285
07/31/2025,$115.94,37129490,$118.48,$119.00,$115.774
07/30/2025,$118.42,29227310,$116.855,$118.485,$116.61
07/29/2025,$116.874,27524890,$117.90,$117.96,$116.329
07/28/2025,$117.46,34469580,$118.12,$119.779,$116.853
07/25/2025,$118.049,26292600,$117.8415,$118.732,$117.4383
07/24/2025,$118.076,38455700,$117.78,$118.35,$116.266
07/23/2025,$117.678,45042640,$118.981,$119.2619,$117.36
07/22/2025,$119.008,50629700,$123.038,$123.237,$118.75
07/21/2025,$123.327,56275910,$120.60,$123.71,$119.80
07/18/2025,$120.924,106933100,$124.196,$124.65,$120.101
07/17/2025,$127.417,64698770,$125.30,$127.75,$124.48
07/16/2025,$125.031,32270220,$126.171,$127.10,$124.982
07/15/2025,$126.027,28017310,$126.20,$127.122,$124.3245
07/14/2025,$126.195,27810480,$124.491,$127.049,$124.00
07/11/2025,$124.511,39571500,$125.9786,$126.10,$123.13
07/10/2025,$125.059,42364940,$128.55,$128.96,$124.601
